phonetics_id,names,phonetics
1,al-quds,ahl-KOOTS
2,al-shabab,AL-shah-bahb
3,al-tuwaitha,al-too-WAY-thah
4,albert,ahl-B-AIR
5,albert,AL-behrt
6,alevi,AH-lay-vee
7,alyeska,al-ee-EHS-kah
8,amal,AH-mahl
9,amalienborg,ah-MAY-lee-ehn-bohr
10,ampatuan,ahm-pah-TWAHN
11,amrozi,ahm-ROH-zee
12,anjuan,ah(n)-ZHWAH(n)
13,antioquia,ahn-TYOH-kyah
14,apache,ah-PAT-chee
15,arena,ah-RAY-nah
16,argun,ahr-GOON
17,armenia,ahr-MAY-nyah
18,asean,AH-see-ahn
19,ashkelon,ahsh-keh-LOHN
20,ashura,ah-shoo-RAH
21,assab,AH-sehb
22,atambua,ah-tahm-BOO-ah
23,auschwitz,OWSH-VIHTS
24,baliya,BAH-lee-yah
25,baath,bath
26,babel,BAB-uhl
27,badme,BAHD-meh
28,badshahi,BAHD-shah-hee
29,bahai,bah-HAH-ee
30,baikonur,B-EYE-keh-NOOR
31,barczewo,bahr-CHEH-voh
32,barrancabermeja,bah-RAHNG-kah-behr-MAY-hah
33,basij,BAH-SEE-JEE
34,batasuna,bah-tah-SOO-nah
35,baudouin,bow-DWAN
36,beatrix,BAY-eh-trihks
37,beijing,BAY-JEENG
38,bejaia,behj-EYE-eh
39,bhuj,BOOJ
40,bijeljina,bee-YEHL-yee-NAH
41,bild,BIHLT
42,birendra,bee-REHN-drah
43,blace,BLAH-chay
44,blic,BLIHTS
45,boediono,boo-dee-OH-noh
46,bonny,BAH-nee
47,bono,BAH-noh
48,bourbonais,burr-buh-NAY
49,brcko,BERR-ch-kaw
50,bujanovac,boo-yah-NAWVS
51,bundesbank,BOON-dehs-bahnk
52,bundesrat,BOON-dehs-raht
53,bundestag,BOON-deh-stahk
54,buner,boo-NEER
55,bushehr,boo-SHEHR
56,butheetaung,POOH-TEE-TAW
57,bwindi,B-WEEN-dee
58,cacak,CHAH-chahk
59,calabria,kah-LAH-bree-ah
60,canakkale,chah-nah-kah-LAY
61,carabinieri,kah-rah-been-YEH-ree
