,phonetics_id,names,phonetics
0,0,al-quds,ahl-KOOTS
1,1,al-shabab,AL-shah-bahb
4,4,al-tuwaitha,al-too-WAY-thah
5,5,albert,ahl-B-AIR
6,6,albert,AL-behrt
7,7,alevi,AH-lay-vee
8,8,alyeska,al-ee-EHS-kah
9,9,amal,AH-mahl
10,10,amalienborg,ah-MAY-lee-ehn-bohr
11,11,ampatuan,ahm-pah-TWAHN
12,12,amrozi,ahm-ROH-zee
13,13,anjuan,ah(n)-ZHWAH(n)
14,14,antioquia,ahn-TYOH-kyah
15,15,apache,ah-PAT-chee
16,16,arena,ah-RAY-nah
17,17,argun,ahr-GOON
34,34,armenia,ahr-MAY-nyah
35,35,asean,AH-see-ahn
36,36,ashkelon,ahsh-keh-LOHN
37,37,ashura,ah-shoo-RAH
38,38,assab,AH-sehb
39,39,atambua,ah-tahm-BOO-ah
40,40,auschwitz,OWSH-VIHTS
41,41,baliya,BAH-lee-yah
42,42,baath,bath
43,43,babel,BAB-uhl
44,44,badme,BAHD-meh
45,45,badshahi,BAHD-shah-hee
46,46,bahai,bah-HAH-ee
47,47,baikonur,B-EYE-keh-NOOR
76,76,barczewo,bahr-CHEH-voh
77,77,barrancabermeja,bah-RAHNG-kah-behr-MAY-hah
78,78,basij,BAH-SEE-JEE
79,79,batasuna,bah-tah-SOO-nah
80,80,baudouin,bow-DWAN
81,81,beatrix,BAY-eh-trihks
82,82,beijing,BAY-JEENG
83,83,bejaia,behj-EYE-eh
84,84,bhuj,BOOJ
85,85,bijeljina,bee-YEHL-yee-NAH
86,86,bild,BIHLT
87,87,birendra,bee-REHN-drah
123,123,blace,BLAH-chay
124,124,blic,BLIHTS
125,125,boediono,boo-dee-OH-noh
126,126,bonny,BAH-nee
127,127,bono,BAH-noh
128,128,bourbonais,burr-buh-NAY
129,129,brcko,BERR-ch-kaw
130,130,bujanovac,boo-yah-NAWVS
131,131,bundesbank,BOON-dehs-bahnk
132,132,bundesrat,BOON-dehs-raht
133,133,bundestag,BOON-deh-stahk
134,134,buner,boo-NEER
135,135,bushehr,boo-SHEHR
136,136,butheetaung,POOH-TEE-TAW
137,137,bwindi,B-WEEN-dee
138,138,cacak,CHAH-chahk
139,139,calabria,kah-LAH-bree-ah
140,140,canakkale,chah-nah-kah-LAY
185,185,carabinieri,kah-rah-been-YEH-ree
186,186,carandiru,kah-rahn-dee-ROO
187,187,cartagena,kahr-tah-HAY-nah
188,188,cebu,say-BOO
189,189,cernavoda,chehr-nah-VOH-dah
190,190,ceyhan,jay-HAHN
191,191,chaigai,CHAHG-EYE
192,192,chamoli,chuh-MOH-lee
193,193,chavakachcheri,CHAH-vah-KAHCH-cheh-ree
194,194,chernobyl,chehr-NOH-bihl
195,195,chernorechye,cheer-nah-R-EYE-ch-yih
196,196,chile,CHIH-lee
197,197,chilean,CHIH-lee-ahn
198,198,chin,CHIHN
199,199,chinhoyi,cheen-HOH-yee
200,200,chisinau,KISH-IN-NOW
201,201,chlef,SH-LEHF
256,256,coartem,koh-AHR-tehm
257,257,colorado,koh-loh-RAH-doh
258,258,comoros,KAH-moh-rohz
259,259,condepa,kohn-DEH-pah
260,260,copei,koh-PAY
261,261,cotonou,koh-toh-NOO
262,262,cumhuriyet,juhm-hoo-ree-YEHT
263,263,dacha,DAH-chah
264,264,daqadus,dah-kah-DOOS
265,265,dayak,dah-YAHK
266,266,decani,DAY-chah-nee
325,325,dhakikot,dah-kee-KOHT
326,326,diet,D-EYE-eht
327,327,diflucan,d-eye-FLOO-kahn
328,328,dili,DIH-lee
329,329,dinar,DEE-nahr
330,330,dinka,DING-kah
331,331,dipendra,dee-PEHN-dreh
332,332,diwali,dih-VAH-lee
333,333,diyarbakir,dee-YAHR-bahk-EHR
334,334,dnevi,D-NAY-vee
335,335,doda,DOH-duh
336,336,drapchi,DRAHP-chee
337,337,dujail,duh-ZHAYL
338,338,dulmatin,dool-MAH-tihn
